,Product_Category,Product_Name,Prodcut_Selling_Price,Prodcut_Mark_Price,Product_Rating,Product_link,Total_User,Product_subcategory1,Product_subcategory2,Product_Variety,Product_Availbility
0,makeup,"LIT Liquid Matte Lipstick - Swinger (Brick Red Shade) | Long Lasting, Smudge-proof, Hydrating Matte Lipstick With Moringa Oil (1.6 ml)",299,375,5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-swinger-1-6ml.html,104,Lip Makeup,Liquid Lipstick,"['Swinger', 'DM Slide', 'Cupcakey', 'Submarining', 'Daterview', 'Hot Hottie', 'Dogging', 'Holmes', 'Pie Hunt', 'Sugar mama', 'Draking', 'Fetish', 'Boo', 'Like A G6', 'Cuffing', 'Kittenfish', 'OTP', 'Fire', 'Slow Fade', 'Watermelon Sugar', 'CU46', 'Insta Baddie', 'E-Boy', 'Lovebomb']",ADD TO BAG
1,makeup,lit-velvet-matte-liquid-lipstick-fake-id-1-6ml,230,,3.4 ratings,https://www.myglamm.com/product/lit-velvet-matte-liquid-lipstick-fake-id-1-6ml.html,300,Lip Makeup,Liquid Lipstick,[],Notify
2,makeup,pack-of-2-lipstick-and-chromantic-nail-paint-par,240,,2.3 ratings,https://www.myglamm.com/product/pack-of-2-lipstick-and-chromantic-nail-paint-par.html,50,Nail Makeup,Nail Polish,[],Notify
3,makeup,"MyGlamm Chromantic Metallic Nail Enamel - Hi Barbie! (Light Pink Shade) | Chamical Free, Chrome Finish & Long Lasting Nail Polish (10ml)",229,249,5 ratings,https://www.myglamm.com/product/chromantic-metallic-nail-enamel-hi-barbie.html,10,Nail Makeup,Nail Polish,"['Hi Barbie!', '24K drip', 'Delilah', 'Luna', 'Kitty Blush', 'Crystal Pink', 'Apple Poison', 'Old Money', 'Midas touch', 'Geisha', 'Nebula', 'Poison Ivy', 'Unicorn Dreams', 'New Money', 'Galactic Glamour', 'Celestial Aura']",ADD TO BAG
4,makeup,"MyGlamm LIT Liquid Matte Lipstick - Pack of 3 Exclusive Combo | Long Lasting, Smudge-Proof, Hydrating Matte Lipstick Set (1.6ml x 3)",618,"1,125",5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-1-6-ml-pack-of-3.html,204,Lip Makeup,Liquid Lipstick,[],Notify
5,makeup,"MyGlamm Define It Lip Liner - Burgundy (Brown Burgundy Shade) | Creamy, Matte Finish, Long Lasting Lip Liner with Rosehip Oil",509,599,5 ratings,https://www.myglamm.com/product/myglamm-define-it-lip-liner-burgundy.html,65,Lip Makeup,Lip Liner,"['Burgundy', 'Caramel', 'Berry', 'Candy', 'Scarlet', 'Rose']",ADD TO BAG
6,makeup,MyGlamm LIT Radiant Matte Compact Powder - Serving Face,259,299,5 ratings,https://www.myglamm.com/product/lit-radiant-matte-compact-serving-face.html,1443,Face Makeup,Compact,"['Serving Face', 'Snatched', 'Beat']",ADD TO BAG
7,makeup,MyGlamm LIT Glossy Liquid Eyeliner - Black Party (Midnight Black Shade) | Up to 24hr Water-proof & Smudge-proof (3.5ml),249,325,5 ratings,https://www.myglamm.com/product/lit-glossy-liquid-eyeliner-black-party.html,1438,Eye Makeup,Eyeliner,"['Black Party', 'Blue Birthday', 'Green Soirée', 'Pink Rave', 'Purple Farewell']",ADD TO BAG
8,makeup,"MyGlamm Super Kohl Long Stay Kajal - Black | Matte Finish, Long Lasting, Smudge Proof & Water Proof Eye Kajal Pencil",199,,5 ratings,https://www.myglamm.com/product/myglamm-super-kohl-long-stay-kajal.html,157,Eye Makeup,Kajal,[],Notify
9,makeup,"MyGlamm LIT Creamy Matte Lipstick - Purple Martini (Deep Reddish Brown Shade) | Long Lasting, Creamy, Demi-matte Finish Slim Lipstick (3.7g)",506,595,4.9 ratings,https://www.myglamm.com/product/lit-creamy-matte-lipstick-purple-martini.html,1464,Lip Makeup,Brown Lipstick,"['Purple Martini', 'Flirtini', 'Manhattan', 'Bloody Mary', 'Mai Tai', 'Appletini', 'Rossini', 'French 75', 'LIIT', 'Old Fashion', 'Tequila Sunrise', 'Mimosa', 'Sangria']",ADD TO BAG
10,makeup,MyGlamm Super Serum Compact - 201N Sesame | Skin-Perfecting Hydrating Compact Powder With Hyaluronic Acid & Vitamin E for Skin Protection (9g),349,499,5 ratings,https://www.myglamm.com/product/myglamm-super-serum-compact-201n-sesame.html,54,Face Makeup,Compact,"['201N Sesame', '401N Mocha', '202W Latte', '301C Rosé', '101N Cream', '102W Beige']",ADD TO BAG
11,makeup,"MyGlamm Super Serum Foundation - 302W Wheat | Serum-Infused, Long Lasting, Water-Resistant Foundation With SPF 30 For Sun Protection (33g)",489,699,5 ratings,https://www.myglamm.com/product/myglamm-super-serum-foundation-302w-wheat.html,62,Face Makeup,Foundation,"['302W Wheat', '401W Toffee', '202W Sunny', '101C Rosette', '301N Biscuit', '103W Crème', '201W Crêpe', '102N Lightful']",ADD TO BAG
12,makeup,"MyGlamm Define It Lip Liner + LIT Liquid Matte Lipstick Exclusive Combo Partneship | Long Lasting, Matte Finish Lip Liner & Smudge Proof Lipstick",974,,5 ratings,https://www.myglamm.com/product/myglamm-define-it-lip-liner-lit-liquid-matte-lipstick-exclusive-combo-par.html,2,Combo,Makeup Combo,[],Notify
13,makeup,"MyGlamm POSE HD Lipstick - Cranberry (Maroon Shade) | Long Lasting, Demi-Matte Finish HD Lipstick With Moringa Oil & Vitamin E (4g)",509,599,4.9 ratings,https://www.myglamm.com/product/pose-hd-lipstick-cranberry.html,766,Lip Makeup,Lipsticks,"['Cranberry', 'Rose Pink', 'Peach Pink', 'Carmine Red', 'Soft Pink', 'Nude Mauve', 'Raspberry', 'Merlot', 'Rich Rose', 'Ripe Grape', 'Mahogany', 'Deep Pink', 'Dark Brown', 'Burgundy', 'Brick Red', 'Caramel', 'Deep Rose Red', 'True Red', 'Muted Brown', 'Muted Coral']",ADD TO BAG
14,makeup,"MyGlammExclusive Combo of LIT Liquid Matte Lipstick (Pack of 3) | Long Lasting, Smudge-Proof, Hydrating Matte Lipsticks","1,125",,5 ratings,https://www.myglamm.com/product/myglamm-2-lit-liquid-matte-1-lit-velvet-matte-exclusive-combo-jul-part.html,4,Lip Makeup,Liquid Lipstick,[],Notify
15,makeup,"MyGlamm POSE HD Foundation Stick - Porcelain (Light Beige Undertone) | Nourishing, Matte, Foundation Stick With Vitamin E (5g)",539,599,5 ratings,https://www.myglamm.com/product/pose-hd-foundation-stick-porcelain.html,1507,Face Makeup,Foundation,"['Porcelain', 'Shell Beige', 'Warm Porcelain', 'Almond', 'Desert Beige', 'Walnut', 'Espresso', 'Golden Honey', 'Warm Sand', 'Warm Beige']",ADD TO BAG
16,makeup,"MyGlamm LIT Matte About It Lip Color - Pink Jazz (Hot Pink Shade) | Long Lasting, Pigmented, Lip Crayon with Moringa Oil & Vitamin E",499,,5 ratings,https://www.myglamm.com/product/lit-matte-about-it-crayon-lipstick-pink-jazz.html,199,Lip Makeup,Crayon lipstick,"['Pink Jazz', 'Salmon Swing', 'Fuchsia Ballet', 'Crimson Calypso', 'Maroon Jive', 'Wine Tango', 'Red Rumba', 'Cherry Tap', 'Taupe Samba', 'Berry Bachata', 'Brown Disco', 'Peach Fusion']",ADD TO BAG
17,makeup,"MyGlamm LIT Liquid Matte Lipstick - DM Slide (Deep Marron Brown Shade) | Smudge-proof, Transfer-proof & 12Hr Stay Long Lasting Lipstick (3ml)",277,395,4.9 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-dm-slide.html,18041,Lip Makeup,Brown Lipstick,"['DM Slide', 'Hot Hottie', 'Ok Boomer', 'Stashing', 'Plus One', 'DTR', 'E-Boy', 'Kittenfish', 'Watermelon Sugar', 'Holmes', 'Cupcakey', 'Like A G6', 'Slow Fade', 'CU46', 'Cuffing', 'Mad Cute']",ADD TO BAG
18,makeup,"MyGlamm Super Serum BB Cream - 301 Almond | BB Cream With Hyaluronic Acid & SPF 50 PA+++ for UVA, UVB Protection & Natural Glow (30g)",314,449,5 ratings,https://www.myglamm.com/product/myglamm-super-serum-bb-cream-301-almond-30g.html,22,Face Makeup,Foundation,"['301 Almond', '201 Pine', '101 Cashew']",ADD TO BAG
